*	name	The 2500 most common chinese characters
者	"汉字: 者
拼音: zhe3
英文: -ist, -er (person)/person (who does sth)
五笔:ftj.ftjf
F(x):103"	tts_者.mp3		2,0,20,16,8,9,4320,2015-12-08 20:43,2016-12-05 20:43	
意	"汉字: 意
拼音: yi4
英文: idea/meaning/wish/desire/(abbr.) Italy
五笔:ujn.ujnu
F(x):104"	tts_意.mp3		2,0,39,24,4,5,720,2016-04-20 21:42,2016-09-27 21:42	
无	"汉字: 无
拼音: wu2
英文: -less/not to have/no/none/not/to lack/un-
五笔:fq.fqv
F(x):105"	tts_无.mp3		2,0,10,10,12,13,4320,2015-09-26 22:32,2016-10-09 22:32	
力	"汉字: 力
拼音: li4
英文: power/force/strength
五笔:lt.ltn
F(x):106"	tts_力.mp3		3,0,7,7,12,13,4320,2015-10-21 21:24,2015-10-21 12:07	
它	"汉字: 它
拼音: ta1
英文: it
五笔:px.pxb
F(x):107"	tts_它.mp3		3,0,9,9,11,12,4320,2016-02-24 21:39,2016-02-23 20:42	
与	"汉字: 与
拼音: yu2/yu3/yu4
英文: (interrog. part.), and/to give/together with, take part in
五笔:gn.gng.gngd
F(x):108"	tts_与.mp3		2,0,21,18,9,10,4320,2016-01-23 21:26,2016-12-31 21:26	
长	"汉字: 长
拼音: chang2/zhang3
英文: length/long/forever/always/constantly, chief/head/elder/to grow/to develop
五笔:ta.tay.tayi
F(x):109"	tts_长.mp3		2,0,10,10,12,13,720,2016-04-20 21:44,2016-09-27 21:44	
把	"汉字: 把
拼音: ba3/ba4
英文: (a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle
五笔:rcn
F(x):110"	tts_把.mp3		3,0,10,10,11,12,3661,2015-07-23 22:10,2015-07-18 11:26	
机	"汉字: 机
拼音: ji1
英文: machine/opportunity/secret
五笔:sm.smn
F(x):111"	tts_机.mp3		2,0,7,7,12,13,4320,2015-09-28 21:22,2016-10-11 21:22	
十	"汉字: 十
拼音: shi2
英文: ten/10
五笔:fgh
F(x):112"	tts_十.mp3		3,0,7,7,12,13,4320,2015-10-17 21:48,2015-10-16 22:24	
民	"汉字: 民
拼音: min2
英文: the people/nationality/citizen
五笔:n.na.nav
F(x):113"	tts_民.mp3		2,0,9,9,12,13,4320,2016-03-09 21:18,2017-01-25 21:18	
第	"汉字: 第
拼音: di4
英文: (prefix before a number, for ordering numbers, e.g. ""first"", ""number two"", etc)
五笔:tx.txh.txht
F(x):114"	tts_第.mp3		2,0,9,9,10,11,4320,2016-01-04 20:58,2016-12-19 20:58	
公	"汉字: 公
拼音: gong1
英文: just/honorable (designation)/public/common
五笔:wc.wcu
F(x):115"	tts_公.mp3		2,0,11,10,8,9,4320,2015-07-23 22:10,2016-09-14 22:10	
此	"汉字: 此
拼音: ci3
英文: this/these
五笔:hx.hxn
F(x):116"	tts_此.mp3		2,0,11,11,11,12,4320,2015-09-24 21:13,2016-10-07 21:13	
已	"汉字: 已
拼音: yi3
英文: already/to stop/then/afterwards
五笔:nnnn
F(x):117"	tts_已.mp3		2,0,9,9,10,11,4320,2015-09-16 21:15,2016-09-29 21:15	
